ID	PRISM_7122	PRISM_7147	PRISM_7150	PRISM_7153	PRISM_7184	PRISM_7238	PRISM_7406	PRISM_7408	PRISM_7421	PRISM_7445	PRISM_7486	PRISM_7547	PRISM_7658	PRISM_7662	PRISM_7744	PRISM_7759	PRISM_7791	PRISM_7843	PRISM_7847	PRISM_7855	PRISM_7858	PRISM_7860	PRISM_7861	PRISM_7862	PRISM_7870	PRISM_7874	PRISM_7875	PRISM_7879	PRISM_7899	PRISM_7904	PRISM_7906	PRISM_7908	PRISM_7909	PRISM_7910	PRISM_7911	PRISM_7912	PRISM_7938	PRISM_7941	PRISM_7947	PRISM_7948	PRISM_7955	PRISM_7971	PRISM_7989	PRISM_8095	PRISM_8226	PRISM_8244	PRISM_8264	PRISM_8283	PRISM_8332	PRISM_8336	PRISM_8361	PRISM_8374	PRISM_8377	PRISM_8406	PRISM_8452	PRISM_8462	PRISM_8466	PRISM_8467	PRISM_8475	PRISM_8483	PRISM_8485	PRISM_8496	PRISM_8523	PRISM_8534	PRISM_8537	PRISM_8550	PRISM_8564	PRISM_8565	PRISM_8573	PRISM_8577	PRISM_8589	PRISM_8591	PRISM_8592	PRISM_8624	PRISM_8629	PRISM_8675	PRISM_8683	PRISM_8746	PRISM_8749	PRISM_8753	PRISM_8754	PRISM_8758	PRISM_8764	PRISM_8765	PRISM_8774	PRISM_8776	PRISM_8783	PRISM_8784	PRISM_8788	PRISM_8789	PRISM_8794	PRISM_8800	PRISM_8802	PRISM_8806	PRISM_8807	PRISM_8841	PRISM_8843	PRISM_8847	PRISM_8878	PRISM_8892	PRISM_9126	PRISM_9148
Cluster_1	1745.71	373.625	1942.62	390.281	22610.3	2698.89	1872.42	1411.06	116.878	2680.18	81.5255	11204.4	151.25	563.164	955.165	589.681	24988.9	24481.2	1103.14	661.417	1841.86	863.585	267.808	377.807	1394.19	601.883	371.789	3141.98	333.459	259.097	1255.38	427.984	1410.98	170.861	1607.33	566.232	789.192	2127.83	1905.84	95.2058	108.745	0	1610.76	2101.1	1426.08	1986.36	962.998	301.565	134.51	0	337.823	1828.35	1666.28	157.414	0	26355.9	297.77	647.126	1951.63	2631.11	11917.7	7804.93	2174.14	1621.57	1042.31	19596.6	3545.55	122355	442.91	454.248	118.93	2401.43	429.483	1774.55	4528.94	1880.65	168.131	0	1234.5	454.471	1337.62	1553.97	4491.18	4042.27	531.136	781.892	1866.27	587.458	570.336	1285.63	156.576	92.7487	2450.88	0	1478.13	1331.4	5863.9	2532.22	1730.81	1366.79	2543.86	2697.58
Cluster_10	0	1927.14	1536.02	1837.77	1241.52	65.8644	0	214.562	1353.22	0	1871.19	410.154	2111.56	2313.77	1797.49	906.616	853.138	0	2010.51	1445.08	1864.84	1562.93	1842.48	1557.9	1095.32	2649.22	244.977	1588.83	2446.22	2166.41	2233.41	1128.02	2125.06	1823.84	554.762	1972.09	1893.16	3.22313	358.795	932.026	1906.78	10336.6	0	76.9136	0	1591.84	0	1781.94	1886.57	0	2344.01	24.7546	0	1813.81	0	123.165	1595.23	1504.94	1285.96	0	0	0	0	18.1097	0	0	0	707.207	1167.36	1945.52	1567.3	0	1846.19	0	0	15.2986	2495.4	4449.35	23.5776	1167.27	1460.06	0	1748.68	1808.26	1967.09	1480.03	616.438	1505.11	2150.87	1609.52	1856.25	2110.14	0	0	0	417.396	98.0663	0	1140.45	0	1719.17	0
Cluster_100	0	1940.26	1407.29	1951.54	0	217.24	0.657508	259.725	1949.43	22.0638	2042.48	150.312	2008.79	1887.88	2077.7	1471.41	812.905	316.695	2000.72	1908.2	2115.35	1748.92	1945.8	1986.5	1117.9	2424.29	179.557	1517.44	2335.16	2442.23	1849.19	2197.38	2141.66	1990.33	703.875	2329.33	1590.08	3.54361	131.49	2101.95	2210.16	0	3.11169	0	0	1711.23	697.626	2179.93	2130.61	1234.56	2086.38	9.072	0	1988.8	1065.38	0	2122.75	1479.93	1060.37	0	87.2076	0	262.503	0	0	946.425	0	1036.7	1016.05	2166.39	1536.46	0	2237.18	0	2187.27	0	2270.54	1630.59	25.922	1381.89	1820.57	6.43282	2431.95	1800	1950.39	2463.1	582.734	2029.94	2262.18	2173.15	2042.91	1963.3	12.3298	451.146	1.85662	633.848	35.9391	2.74203	1436.71	0	2520.14	0
Cluster_1000	0	1874.24	4739.52	1916.53	0	411.121	0.711038	347.866	1828	23.86	1916.04	81.2747	1688.49	2322.73	1933.57	1440.88	1369.35	0	1673.27	1554.48	1970.83	1411.72	1980.79	2224.61	1043.21	2423.62	0	1774.54	2124.71	2281.76	2065.31	2077.58	2131.79	1887.34	682.064	2154.59	1410.41	0	0	2178.95	2002	0	2.52377	22.8614	0	2045.06	754.422	2347.25	1898.03	0	2045.05	9.81058	4.87081	1813.43	0	73.2181	2023.42	1327.06	1299.59	0	0	0	0	10.7657	0	0	0	420.414	1387.92	2090.69	1560.62	0	2279.12	0	3548.01	0	2135.43	0	14.0162	1390.24	1921.16	0	1972.46	1394.54	1807.87	2377.78	514.915	1996.24	1810.99	1410.04	1891.62	1850.78	30.0007	243.938	0	576.492	11.6595	4.4479	1878.53	0	1635.19	0
Cluster_1001	0	1891.55	1282.71	1767.38	0	313.235	0.355519	243.506	1841.08	0	1599.36	0	1814.39	38.9284	0	1671.86	659.314	0	1866.34	968.142	0	1596.64	1866.64	663.563	1372.28	2631.09	0	1602.81	2050.69	587.939	1770.26	0	31.5821	61.5729	714.543	847.577	0	0	0	1800.7	0	0	0	22.8614	0	1356.36	0	2137.67	1992.12	0	8.01982	4.90529	4.87081	1373.91	3456.36	146.436	892.534	0	802.686	12.8828	282.922	0	0	0	0	0	0	840.827	520.47	1868.28	1677.08	0	1494.05	18.2921	0	0	139.947	0	0	1275.2	1651.25	0	79.9645	1597.91	1707.43	420.427	1.87925	1882.93	0	1410.04	1804.7	1843.24	10.0002	853.782	1.50583	520.032	93.2759	6.67185	1059.32	0	51.0997	0
Cluster_1002	0	0	0	0	0	1703.22	0	3.86518	3.27013	0	0	0	0	0	0	0	0	0	0	0	0	4.51027	0	0	112.023	0	0	0	0	0	0	0	0	0	0	0	0	0	213.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_1003	1602.93	7.90476	87.3663	56.1888	0	1298.08	1303.65	1192.1	62.4201	1402.27	24.0613	1143.11	0	0	0	198.9	356.659	516.096	27.709	136.989	0	226.558	61.9927	9.59187	548.64	0	1024.14	57.5083	13.1222	59.7692	0	4.00999	0	0	963.828	0	150.428	1466.79	1071.4	58.874	0	0	1427.46	1722.54	1616.22	110.913	1136.87	66.9918	2.52058	0	82.5837	1581.89	1345.67	60.357	0	220.671	10.1894	59.9191	883.203	1760.17	1563.28	1373.38	2566.69	1735.89	1695.36	0	1160.25	844.72	610.026	0	163.804	1265.49	4.02403	1552.84	0	1534.96	0	0	1351.78	330.92	0	1506.07	53.5565	14.5937	24.0243	8.39152	908.105	0	4.77527	0	16.0104	10.3297	1426.61	0	1552.13	979.2	1194.77	1653.34	212.845	1314.76	77.0044	1463.22
Cluster_1004	1946.41	6.32381	131.049	14.9837	0	1042.39	1830.47	1611.48	98.558	1785.8	42.7757	326.604	7.43996	0	3.007	430.951	305.708	0	0	27.3979	0	194.84	111.587	0	400.929	18.9482	1170.45	0	17.4963	101.959	0	0	31.7283	0	1137.02	0	300.857	1724.73	1071.4	107.044	0	3086.61	1678.47	2526.4	1807.03	89.7865	757.915	97.6167	0	4023.74	74.5268	1493.18	1942.66	96.8889	0	514.899	45.8523	209.717	729.602	1695.45	426.348	1573.15	1283.35	2011.69	1736.38	0	1571.48	0	610.026	0	46.8013	1873.58	0	1709.04	0	2147.12	0	0	1809.42	437.983	5.31696	1659.83	26.7782	0	60.0608	11.1887	1272.48	8.21437	4.77527	0	26.6839	23.414	1707.91	122.534	1921.26	1286.69	1288.48	1979.54	525.018	1523.92	77.0044	1893.57
Cluster_1005	1087.7	4.74286	87.3663	7.49184	2965.86	373.689	1334.01	15.5323	68.9906	1474.19	16.0409	489.906	3.71998	0	0	442.001	203.805	1376.26	36.9453	0	0	104.217	111.587	0	548.64	0	1170.45	0	17.4963	87.8959	0	2.005	0	0	926.179	0	53.3778	537.054	1071.4	80.2827	0	0	0	321.541	336.713	58.0972	0	7.65621	0	0	48.3417	1315.78	0	56.3862	0	220.671	10.1894	179.757	537.602	828.313	1705.39	1448.29	0	1600.7	1086.95	0	837.143	0	174.293	0	46.8013	419.091	0	1415.01	0	1388.77	0	0	1203.93	343.086	5.31696	6.98874	0	29.1873	24.0243	5.59435	972.295	0	4.77527	0	14.0697	19.9708	1396.47	0	61.2685	928.449	995.645	1595.25	141.897	1494.04	51.3362	1233.69
Cluster_1006	1207.79	19.0597	21.9432	52.6868	2234.74	1146.04	1630.51	1552.65	95.7159	1348.59	48.3465	1558.58	3.73728	13.0968	0	521.766	870.201	1209.83	18.5586	0	0	191.194	183.729	0	459.327	38.0726	1616.85	0	4.39441	91.8369	0	4.02864	0	0	1243.17	0	326.631	1624.46	1291.66	96.7873	0	0	1744.86	2238.18	1725.22	106.123	0	124.992	3.79846	0	84.9914	1623.9	1543.66	86.1694	3488.51	738.992	40.9471	180.593	347.209	1800.86	999.44	1304.51	1432.57	1879.79	1497.21	0	1327.95	848.649	437.76	0	117.547	1741.95	0	1292.36	0	1624.71	0	0	1704.66	382.573	0	1793.93	161.417	0	41.0313	2.81018	1120.97	5.8947	0	0	28.7577	25.5985	1584.64	246.207	1893.72	1151.71	1788.73	1984.26	399.159	1561.03	0	1700.61
