ID	PRISM_7122	PRISM_7147	PRISM_7150	PRISM_7153	PRISM_7184	PRISM_7238	PRISM_7406	PRISM_7408	PRISM_7421	PRISM_7445	PRISM_7486	PRISM_7547	PRISM_7658	PRISM_7662	PRISM_7744	PRISM_7759	PRISM_7791	PRISM_7843	PRISM_7847	PRISM_7855	PRISM_7858	PRISM_7860	PRISM_7861	PRISM_7862	PRISM_7870	PRISM_7874	PRISM_7875	PRISM_7879	PRISM_7899	PRISM_7904	PRISM_7906	PRISM_7908	PRISM_7909	PRISM_7910	PRISM_7911	PRISM_7912	PRISM_7938	PRISM_7941	PRISM_7947	PRISM_7948	PRISM_7955	PRISM_7971	PRISM_7989	PRISM_8095	PRISM_8226	PRISM_8244	PRISM_8264	PRISM_8283	PRISM_8332	PRISM_8336	PRISM_8361	PRISM_8374	PRISM_8377	PRISM_8406	PRISM_8452	PRISM_8462	PRISM_8466	PRISM_8467	PRISM_8475	PRISM_8483	PRISM_8485	PRISM_8496	PRISM_8523	PRISM_8534	PRISM_8537	PRISM_8550	PRISM_8564	PRISM_8565	PRISM_8573	PRISM_8577	PRISM_8589	PRISM_8591	PRISM_8592	PRISM_8624	PRISM_8629	PRISM_8675	PRISM_8683	PRISM_8746	PRISM_8749	PRISM_8753	PRISM_8754	PRISM_8758	PRISM_8764	PRISM_8765	PRISM_8774	PRISM_8776	PRISM_8783	PRISM_8784	PRISM_8788	PRISM_8789	PRISM_8794	PRISM_8800	PRISM_8802	PRISM_8806	PRISM_8807	PRISM_8841	PRISM_8843	PRISM_8847	PRISM_8878	PRISM_8892	PRISM_9126	PRISM_9148
PRISM_8564_85664	0	1283	0	202	1	20	2	2	267	190	64	484	5	21	0	465	1	0	0	225	0	128	0	99	10	22	191	88	73	0	1259	369	0	451	471	526	143	231	0	0	303	2	0	0	0	105	2	745	217	0	2	0	51	539	0	1085	60	483	205	0	3	496	66	0	0	0	272	1	169	123	0	2	0	1	0	0	971	2	2	4	114	0	436	148	2	28	22	588	394	167	0	878	0	0	1	2	283	3	0	1158	421	344
PRISM_8573_103541	0	138	7	37	0	1	0	8	33	2	64	0	35	23	38	8	3	0	23	24	8	31	23	29	7	12	0	0	60	83	17	85	12	84	24	39	50	0	0	60	78	0	0	0	1	37	0	182	154	0	153	0	0	280	0	0	51	8	3	0	0	0	0	0	0	0	0	0	3	3	12	0	49	0	0	0	192	0	0	141	25	0	16	29	61	109	27	211	117	5	264	350	0	0	0	32	0	0	5	0	5	0
PRISM_8573_42633	0	122	19	73	0	1	1	23	71	0	139	1	60	18	113	36	0	0	27	15	15	55	68	38	32	49	0	3	63	92	13	147	33	125	37	29	57	0	0	54	154	0	0	0	0	44	0	110	222	0	95	0	0	314	0	0	61	24	6	1	4	1	0	0	0	0	3	1	7	10	11	0	61	1	0	0	131	0	1	207	71	0	9	13	146	142	52	193	90	5	576	358	0	0	0	33	3	0	10	0	7	0
PRISM_8577_09595	0	210	6	78	0	0	0	0	108	0	6	0	11	34	111	0	5	0	0	45	11	0	37	67	3	0	0	0	63	29	15	0	0	10	0	46	62	0	0	77	0	0	0	0	0	1	0	193	0	0	175	0	0	275	0	0	39	0	0	0	0	0	2	0	0	0	0	0	0	21	0	0	0	0	0	0	254	2	0	0	0	0	0	24	0	0	2	0	0	4	0	2	0	0	0	85	1	1	0	0	0	0
PRISM_8577_39950	3	4904	296	2006	0	65	6	258	2141	3	3160	3	2217	716	2640	497	104	0	740	541	429	1480	2577	1692	781	1110	2	257	2073	2532	531	4366	485	3031	1075	1224	1375	3	1	1762	3643	1	12	2	0	1290	9	4834	7103	3	4675	4	0	10100	0	0	1567	430	113	6	0	1	5	2	1	1	2	10	75	467	318	4	2072	1	1	2	6228	8	14	5038	1276	0	340	567	3055	3388	1229	6907	3427	148	15769	11490	0	12	1	1818	25	10	417	1	274	0
PRISM_8577_77812	0	0	46	19	0	2	0	28	0	3	333	0	254	81	331	52	3	1	4	0	0	185	359	224	22	138	0	0	261	349	32	109	56	17	160	166	0	0	0	238	75	0	1	0	0	183	0	604	102	0	538	0	0	446	0	0	215	3	14	0	0	0	0	0	0	0	0	1	11	57	46	0	101	0	1	0	673	1	0	567	181	0	46	0	2	381	0	2	412	20	0	1397	0	0	3	19	3	0	0	0	31	0
PRISM_8589_05325	0	547	39	167	1	4	2	21	3	0	0	0	250	15	0	131	0	0	78	0	52	155	172	191	0	0	0	0	46	0	4	0	0	283	0	5	0	0	0	0	228	0	0	0	0	152	0	7	0	0	2	0	2	0	0	0	85	61	0	1	0	2	0	0	0	0	0	1	4	0	34	0	0	0	0	0	0	0	2	0	153	0	1	0	362	221	122	810	1	0	1722	1	0	0	0	15	2	0	22	0	2	0
PRISM_8589_137779	0	122	8	79	0	0	1	0	0	1	0	0	14	8	21	32	0	0	30	18	1	29	75	26	16	6	0	8	21	233	20	95	20	123	26	7	28	0	0	47	45	0	0	0	0	36	0	114	1	0	1	0	0	72	0	0	45	31	41	0	0	0	0	0	0	0	2	0	13	19	116	0	0	0	0	0	1	0	1	168	44	0	6	11	153	66	20	309	98	11	681	1096	0	0	0	44	1	0	13	0	7	0
PRISM_8589_31025	0	2390	153	1265	0	32	2	160	1305	2	1603	5	1102	414	1409	284	48	2	486	262	250	864	1258	878	412	506	1	136	1120	1260	290	2248	265	1529	630	680	711	4	0	895	1994	0	0	0	0	736	7	2552	3646	0	2312	3	3	5456	1	1	852	319	55	0	1	1	4	2	0	5	0	9	53	187	177	0	1291	4	0	0	3012	6	4	2702	803	0	153	301	1777	1690	648	3681	1906	73	8564	6023	2	0	0	897	17	2	240	0	117	0
PRISM_8589_39036	0	20	2	0	0	0	0	0	50	0	14	0	4	33	114	2	0	0	37	111	51	0	104	14	81	38	7	195	44	32	0	0	59	17	0	39	0	0	0	0	2	0	0	0	0	23	0	10	208	0	0	0	0	0	0	9	0	8	2	29	0	0	0	0	0	0	0	1	35	5	130	0	15	0	0	0	0	0	0	0	71	0	370	379	17	188	0	339	28	24	342	2	6	0	0	0	10	0	0	0	40	4
PRISM_8591_26121	30	4	1	20	2	44	4866	421	31	154	9	16	4	2	0	30	9	4	3	0	0	78	61	2	61	0	6	2	1	33	0	2	0	0	472	0	66	951	18	28	0	0	848	89	138	23	0	39	4	0	32	386	413	97	1	13	10	6	20	279	9	61	20	415	216	0	92	2	6	0	4	251	0	167	0	159	0	0	219	331	2	532	0	0	23	4	694	6	4	0	64	35	208	0	2480	797	138	893	31	60	8	57
PRISM_8591_47563	1484	13	150	22	0	36	5560	1019	83	1614	67	20	4	4	6	22	27	7	1	0	13	157	180	2	614	6	22	0	20	44	2	6	55	26	1872	15	169	3095	80	62	7	0	1027	124	330	80	0	124	1	0	160	45	679	189	0	13	11	26	23	837	24	95	15	74	469	11	270	0	13	27	10	2103	34	376	2	227	0	2	269	566	0	1631	827	4	53	211	1571	15	4	0	27	70	291	0	6921	858	248	2365	56	81	10	225
PRISM_8591_72861	28	5	4	15	0	66	3650	307	19	117	9	14	0	0	0	18	7	3	3	10	0	50	20	2	78	0	7	2	3	17	0	2	0	0	384	0	31	762	10	11	0	0	563	75	144	21	3	35	2	0	41	321	275	76	0	3	2	4	23	272	11	55	18	321	248	0	79	2	7	0	7	154	1	169	0	168	0	0	192	272	0	431	2	1	10	3	481	0	2	0	33	15	142	0	2052	656	102	740	15	44	3	51
PRISM_8592_104260	0	3409	176	1408	2	43	3	240	1480	3	2009	5	1561	469	1788	372	37	2	558	364	281	1075	1711	1105	470	684	2	199	1507	1791	349	2879	333	2037	750	888	901	2	5	1128	2407	0	3	3	0	873	5	3284	4537	1	3141	0	1	7122	0	2	1144	281	101	4	5	0	5	2	0	1	0	10	38	271	227	1	1391	2	0	1	4176	1	4	3449	970	3	243	384	2175	2471	819	4603	2419	98	11507	7554	4	4	10	1150	17	13	262	0	148	0
PRISM_8592_113262	2	906	69	402	0	8	4	68	409	1	574	0	417	136	540	77	33	0	150	100	104	311	457	299	147	181	2	51	411	453	76	770	117	516	229	211	240	4	0	300	677	1	1	1	0	255	0	906	1212	0	807	0	0	1909	0	0	287	99	15	0	0	0	0	2	2	0	0	0	20	84	66	0	413	0	2	0	1217	2	0	932	228	0	47	96	680	652	283	1206	749	28	2831	2091	3	1	2	335	6	2	71	0	45	0
PRISM_8592_119100	0	28	1	8	0	0	0	2	135	0	28	0	16	11	22	2	0	0	7	5	1	9	10	97	4	7	0	0	2	1	6	195	7	15	6	14	16	0	0	0	0	0	0	0	0	104	2	4	70	0	0	0	0	79	0	0	4	2	2	0	0	0	0	0	0	1	0	0	0	6	0	0	68	0	0	0	0	1	0	50	16	0	0	0	5	6	9	11	2	0	1079	100	0	0	0	14	0	0	1	0	0	0
PRISM_8592_129761	1	1871	99	505	1	17	3	60	441	3	957	1	455	170	802	130	4	1	242	171	90	376	572	510	159	207	0	82	437	152	117	969	134	747	336	197	478	1	0	314	825	1	1	2	1	301	6	15	467	1	614	0	0	2120	2	0	367	114	26	2	0	0	0	0	0	0	1	2	27	96	118	1	675	0	0	0	453	3	0	931	279	0	25	171	398	326	412	1675	1055	49	4961	3405	0	4	0	678	0	0	79	0	76	0
PRISM_8592_141169	1	2899	160	1020	1	36	0	162	1245	5	1583	1	1052	27	1549	336	0	4	416	342	272	883	953	770	310	574	3	113	1202	0	111	2224	317	1621	0	0	749	0	0	0	0	0	2	1	0	4	3	0	3833	1	0	0	4	3652	0	4	527	252	61	6	1	2	0	0	1	2	0	0	18	4	165	1	856	2	3	0	20	0	2	2747	767	2	4	272	1940	3	740	3929	1919	77	9092	6538	0	0	0	89	8	0	224	0	144	1
PRISM_8592_54108	0	0	118	744	0	0	0	133	780	4	1781	1	2	0	1157	207	0	0	229	166	183	0	0	631	0	0	0	0	212	0	111	1	239	990	430	0	1	0	0	2	1057	0	2	0	0	517	2	1	2151	1	1	0	2	0	0	2	570	117	45	0	2	2	0	0	0	0	0	0	11	0	130	0	1689	2	1	0	24	3	0	1659	0	0	6	276	1294	7	2	3480	1	0	7935	3628	2	0	1	2	2	0	154	0	151	0
