TID	familyID	evidence	value	rank	description	note
24	Cluster_222	priority_score	0.9894067796610169	0.9894067796610169	meta ranking based on multiple evidences	
25	Cluster_3	DNA_abundance	3053.376283333335	0.9923130677847659	ranking based on single evidence	
26	Cluster_3	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
27	Cluster_3	priority_score	0.9856296405292146	0.9856296405292146	meta ranking based on multiple evidences	
28	Cluster_134	DNA_abundance	1556.0310347156862	0.9832285115303984	ranking based on single evidence	
29	Cluster_134	DNA_prevalence	0.9411764705882353	0.9863731656184487	ranking based on single evidence	
30	Cluster_134	priority_score	0.9847983282066043	0.9847983282066043	meta ranking based on multiple evidences	
31	Cluster_5	DNA_abundance	2375.044695970589	0.989517819706499	ranking based on single evidence	
32	Cluster_5	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
33	Cluster_5	priority_score	0.9842488217314911	0.9842488217314911	meta ranking based on multiple evidences	
34	Cluster_292	DNA_abundance	2093.728786098039	0.9881201956673655	ranking based on single evidence	
35	Cluster_292	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
36	Cluster_292	priority_score	0.9835569407673032	0.9835569407673032	meta ranking based on multiple evidences	
37	Cluster_8	DNA_abundance	1611.8259166666664	0.983927323549965	ranking based on single evidence	
38	Cluster_8	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
39	Cluster_8	priority_score	0.9814753864674269	0.9814753864674269	meta ranking based on multiple evidences	
40	Cluster_6	DNA_abundance	1642.569707137255	0.9846261355695318	ranking based on single evidence	
41	Cluster_6	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
42	Cluster_6	priority_score	0.9765236664753997	0.9765236664753997	meta ranking based on multiple evidences	
43	Cluster_375	DNA_abundance	1390.8795188627446	0.9657582110412299	ranking based on single evidence	
44	Cluster_375	DNA_prevalence	0.9411764705882353	0.9863731656184487	ranking based on single evidence	
45	Cluster_375	priority_score	0.9759568390081946	0.9759568390081946	meta ranking based on multiple evidences	
46	Cluster_1234	DNA_abundance	4149.704023921568	0.9965059399021663	ranking based on single evidence	
47	Cluster_1234	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
48	Cluster_1234	priority_score	0.9754555100939931	0.9754555100939931	meta ranking based on multiple evidences	
49	Cluster_379	DNA_abundance	1487.0274327745094	0.9776380153738644	ranking based on single evidence	
50	Cluster_379	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
51	Cluster_379	priority_score	0.9730745345121552	0.9730745345121552	meta ranking based on multiple evidences	
52	Cluster_541	DNA_abundance	1460.7542630294117	0.973445143256464	ranking based on single evidence	
53	Cluster_541	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
54	Cluster_541	priority_score	0.9709931403767248	0.9709931403767248	meta ranking based on multiple evidences	
55	Cluster_11	DNA_abundance	2058.257360980393	0.986722571628232	ranking based on single evidence	
56	Cluster_11	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
57	Cluster_11	priority_score	0.9707446962330286	0.9707446962330286	meta ranking based on multiple evidences	
58	Cluster_251	DNA_abundance	1310.6216085539213	0.9419986023759609	ranking based on single evidence	
59	Cluster_251	DNA_prevalence	0.9607843137254902	0.9944095038434662	ranking based on single evidence	
60	Cluster_251	priority_score	0.9674947753020516	0.9674947753020516	meta ranking based on multiple evidences	
61	Cluster_668	DNA_abundance	1521.1234842843137	0.9797344514325647	ranking based on single evidence	
62	Cluster_668	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
63	Cluster_668	priority_score	0.9673506645780541	0.9673506645780541	meta ranking based on multiple evidences	
64	Cluster_1133	DNA_abundance	3246.9056471568624	0.9930118798043326	ranking based on single evidence	
65	Cluster_1133	DNA_prevalence	0.9019607843137255	0.9416491963661775	ranking based on single evidence	
66	Cluster_1133	priority_score	0.9666487325528903	0.9666487325528903	meta ranking based on multiple evidences	
67	Cluster_30	DNA_abundance	1383.210379078431	0.9643605870020965	ranking based on single evidence	
68	Cluster_30	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
69	Cluster_30	priority_score	0.9664524754771552	0.9664524754771552	meta ranking based on multiple evidences	
70	Cluster_463	DNA_abundance	1478.4877036862745	0.9769392033542977	ranking based on single evidence	
71	Cluster_463	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
72	Cluster_463	priority_score	0.9659861779279024	0.9659861779279024	meta ranking based on multiple evidences	
73	Cluster_33	DNA_abundance	1318.3235126372547	0.9454926624737946	ranking based on single evidence	
74	Cluster_33	DNA_prevalence	0.9411764705882353	0.9863731656184487	ranking based on single evidence	
75	Cluster_33	priority_score	0.965500374810462	0.965500374810462	meta ranking based on multiple evidences	
76	Cluster_225	DNA_abundance	1293.176755039216	0.9343116701607268	ranking based on single evidence	
77	Cluster_225	DNA_prevalence	0.9803921568627451	0.9986023759608665	ranking based on single evidence	
78	Cluster_225	priority_score	0.9653878356179888	0.9653878356179888	meta ranking based on multiple evidences	
79	Cluster_290	DNA_abundance	1287.9183664019608	0.9308176100628931	ranking based on single evidence	
80	Cluster_290	DNA_prevalence	0.9705882352941176	0.9965059399021663	ranking based on single evidence	
81	Cluster_290	priority_score	0.9625423581941158	0.9625423581941158	meta ranking based on multiple evidences	
82	Cluster_383	DNA_abundance	1321.5077810490197	0.9461914744933613	ranking based on single evidence	
83	Cluster_383	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
84	Cluster_383	priority_score	0.9623333980146636	0.9623333980146636	meta ranking based on multiple evidences	
85	Cluster_224	DNA_abundance	14789.492199656865	1.0	ranking based on single evidence	
86	Cluster_224	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
87	Cluster_224	priority_score	0.9622915155910079	0.9622915155910079	meta ranking based on multiple evidences	
88	Cluster_369	DNA_abundance	1419.8555168039213	0.9685534591194969	ranking based on single evidence	
89	Cluster_369	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
90	Cluster_369	priority_score	0.9618689274365071	0.9618689274365071	meta ranking based on multiple evidences	
91	Cluster_354	DNA_abundance	1366.9701210098035	0.960167714884696	ranking based on single evidence	
92	Cluster_354	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
93	Cluster_354	priority_score	0.9577156265942207	0.9577156265942207	meta ranking based on multiple evidences	
94	Cluster_424	DNA_abundance	1351.8522949019602	0.9580712788259959	ranking based on single evidence	
95	Cluster_424	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
96	Cluster_424	priority_score	0.9566716129694202	0.9566716129694202	meta ranking based on multiple evidences	
97	Cluster_245	DNA_abundance	1291.6917282352938	0.93361285814116	ranking based on single evidence	
98	Cluster_245	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
99	Cluster_245	priority_score	0.9557848843666534	0.9557848843666534	meta ranking based on multiple evidences	
100	Cluster_223	DNA_abundance	1262.277508960785	0.9154437456324249	ranking based on single evidence	
101	Cluster_223	DNA_prevalence	0.9705882352941176	0.9965059399021663	ranking based on single evidence	
102	Cluster_223	priority_score	0.9542564190583611	0.9542564190583611	meta ranking based on multiple evidences	
103	Cluster_452	DNA_abundance	1298.720316372549	0.939203354297694	ranking based on single evidence	
104	Cluster_452	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
105	Cluster_452	priority_score	0.9536526366715047	0.9536526366715047	meta ranking based on multiple evidences	
106	Cluster_250	DNA_abundance	1329.576259254902	0.9503843466107617	ranking based on single evidence	
107	Cluster_250	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
108	Cluster_250	priority_score	0.9528239103901073	0.9528239103901073	meta ranking based on multiple evidences	
109	Cluster_269	DNA_abundance	1370.6883651862747	0.9622641509433962	ranking based on single evidence	
110	Cluster_269	DNA_prevalence	0.9019607843137255	0.9416491963661775	ranking based on single evidence	
111	Cluster_269	priority_score	0.9518450676426694	0.9518450676426694	meta ranking based on multiple evidences	
112	Cluster_93	DNA_abundance	1322.7404952843133	0.9475890985324947	ranking based on single evidence	
113	Cluster_93	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
114	Cluster_93	priority_score	0.9514170383356007	0.9514170383356007	meta ranking based on multiple evidences	
115	Cluster_601	DNA_abundance	1472.7437258333327	0.976240391334731	ranking based on single evidence	
116	Cluster_601	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
117	Cluster_601	priority_score	0.9511534502945579	0.9511534502945579	meta ranking based on multiple evidences	
118	Cluster_324	DNA_abundance	1316.8702940098035	0.944095038434661	ranking based on single evidence	
119	Cluster_324	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
120	Cluster_324	priority_score	0.9496526251215464	0.9496526251215464	meta ranking based on multiple evidences	
121	Cluster_1027	DNA_abundance	2943.8058135294123	0.9916142557651991	ranking based on single evidence	
122	Cluster_1027	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
123	Cluster_1027	priority_score	0.9487858510409164	0.9487858510409164	meta ranking based on multiple evidences	
124	Cluster_444	DNA_abundance	1300.6368815588235	0.9399021663172606	ranking based on single evidence	
125	Cluster_444	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
126	Cluster_444	priority_score	0.9475267414127547	0.9475267414127547	meta ranking based on multiple evidences	
127	Cluster_282	DNA_abundance	1296.1571439215688	0.9364081062194269	ranking based on single evidence	
128	Cluster_282	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
129	Cluster_282	priority_score	0.9457479728126759	0.9457479728126759	meta ranking based on multiple evidences	
130	Cluster_548	DNA_abundance	1543.4921744215678	0.9818308874912649	ranking based on single evidence	
131	Cluster_548	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
132	Cluster_548	priority_score	0.9442844264325743	0.9442844264325743	meta ranking based on multiple evidences	
133	Cluster_789	DNA_abundance	1522.3993942156865	0.9804332634521313	ranking based on single evidence	
134	Cluster_789	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
135	Cluster_789	priority_score	0.943637561385061	0.943637561385061	meta ranking based on multiple evidences	
136	Cluster_334	DNA_abundance	1317.441048862745	0.9447938504542278	ranking based on single evidence	
137	Cluster_334	DNA_prevalence	0.9019607843137255	0.9416491963661775	ranking based on single evidence	
138	Cluster_334	priority_score	0.9432189023797533	0.9432189023797533	meta ranking based on multiple evidences	
139	Cluster_125	DNA_abundance	1453.496119009804	0.9727463312368972	ranking based on single evidence	
140	Cluster_125	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
141	Cluster_125	priority_score	0.9400626323406881	0.9400626323406881	meta ranking based on multiple evidences	
142	Cluster_317	DNA_abundance	1241.8468672352942	0.9014675052410901	ranking based on single evidence	
143	Cluster_317	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
144	Cluster_317	priority_score	0.9386517836066647	0.9386517836066647	meta ranking based on multiple evidences	
145	Cluster_451	DNA_abundance	1434.7769093529416	0.9692522711390635	ranking based on single evidence	
146	Cluster_451	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
147	Cluster_451	priority_score	0.9384279939650296	0.9384279939650296	meta ranking based on multiple evidences	
148	Cluster_234	DNA_abundance	1217.2528844607841	0.8895877009084556	ranking based on single evidence	
149	Cluster_234	DNA_prevalence	0.9411764705882353	0.9863731656184487	ranking based on single evidence	
150	Cluster_234	priority_score	0.9354837324136973	0.9354837324136973	meta ranking based on multiple evidences	
151	Cluster_318	DNA_abundance	1244.2722232647068	0.9042627533193571	ranking based on single evidence	
152	Cluster_318	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
153	Cluster_318	priority_score	0.9353046090303202	0.9353046090303202	meta ranking based on multiple evidences	
154	Cluster_516	DNA_abundance	1298.5494354901962	0.9385045422781272	ranking based on single evidence	
155	Cluster_516	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
156	Cluster_516	priority_score	0.9328805450210298	0.9328805450210298	meta ranking based on multiple evidences	
157	Cluster_34	DNA_abundance	1193.2646444901964	0.8784067085953878	ranking based on single evidence	
158	Cluster_34	DNA_prevalence	0.9607843137254902	0.9944095038434662	ranking based on single evidence	
159	Cluster_34	priority_score	0.9328154823367439	0.9328154823367439	meta ranking based on multiple evidences	
160	Cluster_453	DNA_abundance	1248.945204088235	0.909853249475891	ranking based on single evidence	
161	Cluster_453	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
162	Cluster_453	priority_score	0.932011533932966	0.932011533932966	meta ranking based on multiple evidences	
163	Cluster_259	DNA_abundance	1215.644751588235	0.8881900768693222	ranking based on single evidence	
164	Cluster_259	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
165	Cluster_259	priority_score	0.931402917435569	0.931402917435569	meta ranking based on multiple evidences	
166	Cluster_697	DNA_abundance	1464.1392220196071	0.9748427672955975	ranking based on single evidence	
167	Cluster_697	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
168	Cluster_697	priority_score	0.9312203330354124	0.9312203330354124	meta ranking based on multiple evidences	
169	Cluster_48	DNA_abundance	1293.3323736176471	0.9350104821802935	ranking based on single evidence	
170	Cluster_48	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
171	Cluster_48	priority_score	0.9311511518598496	0.9311511518598496	meta ranking based on multiple evidences	
172	Cluster_56	DNA_abundance	1336.6181893725486	0.9531795946890287	ranking based on single evidence	
173	Cluster_56	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
174	Cluster_56	priority_score	0.9308296698463859	0.9308296698463859	meta ranking based on multiple evidences	
175	Cluster_238	DNA_abundance	1206.9621486274514	0.8846960167714885	ranking based on single evidence	
176	Cluster_238	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
177	Cluster_238	priority_score	0.9294781548532848	0.9294781548532848	meta ranking based on multiple evidences	
178	Cluster_276	DNA_abundance	1291.0929432254904	0.9315164220824598	ranking based on single evidence	
179	Cluster_276	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
180	Cluster_276	priority_score	0.9294152572206197	0.9294152572206197	meta ranking based on multiple evidences	
181	Cluster_596	DNA_abundance	1439.2866616666665	0.9699510831586303	ranking based on single evidence	
182	Cluster_596	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
183	Cluster_596	priority_score	0.9289826217900004	0.9289826217900004	meta ranking based on multiple evidences	
184	Cluster_399	DNA_abundance	1284.44891127451	0.9301187980433263	ranking based on single evidence	
185	Cluster_399	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
186	Cluster_399	priority_score	0.9287190707325012	0.9287190707325012	meta ranking based on multiple evidences	
187	Cluster_321	DNA_abundance	1411.4754313529409	0.9678546470999301	ranking based on single evidence	
188	Cluster_321	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
